Date,Team,Acquired,Relinquished,Notes
2013-01-26,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
2013-01-26,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-26,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
2013-01-27,Blazers,,Jared Jeffries,placed on IL with hip injury
2013-01-27,Blazers,Sasha Pavlovic,,activated from IL
2013-01-27,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
2013-01-27,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-01-27,Grizzlies,,Quincy Pondexter,placed on IL with sprained MCL in left knee
2013-01-27,Pistons,,Rodney Stuckey,placed on IL
2013-01-27,Pistons,Khris Middleton,,activated from IL
2013-01-28,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-28,76ers,Kwame Brown,,returned to lineup
2013-01-28,Grizzlies,,Mike Conley Jr.,sprained left ankle (DNP)
2013-01-28,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-01-28,Magic,,Arron Afflalo,placed on IL with strained left calf
2013-01-28,Magic,Hedo Turkoglu,,activated from IL
2013-01-28,Nets,,Tornike Shengelia,concussion (out indefinitely)
2013-01-28,Nuggets,,JaVale McGee,placed on IL with sore left shin
2013-01-28,Nuggets,,Wilson Chandler,strained groin (DNP) (CBC P)
2013-01-28,Nuggets,Julyan Stone,,activated from IL (P)
2013-01-28,Pacers,Gerald Green ,,activated from IL
2013-01-28,Raptors,,Kyle Lowry,back spasms (DNP)
2013-01-28,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-28,Warriors,,Jeremy Tyler,placed on IL
2013-01-28,Warriors,Andrew Bogut,,activated from IL
2013-01-28,Nets,Tyshawn Taylor,,activated from IL
2013-01-28,Rockets,Donatas Motiejunas,,activated from IL
2013-01-29,Blazers,,Victor Claver,placed on IL
2013-01-29,Blazers,Jared Jeffries,,activated from IL
2013-01-29,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
2013-01-29,Cavaliers,,Luke Walton,sore left ankle (DNP)
2013-01-29,Hornets,Darius Miller,,activated from IL
2013-01-29,Lakers,Steve Blake,,activated from IL
2013-01-29,Mavericks,,Chris Kaman,placed on IL with concussion
2013-01-29,Mavericks,Dominique Jones,,activated from IL
2013-01-29,Pistons,,Khris Middleton,placed on IL
2013-01-29,Pistons,Rodney Stuckey,,activated from IL
2013-01-29,Warriors,,Andrew Bogut,placed on IL for rest
2013-01-29,Warriors,,Carl Landry,bruised left shoulder (DNP)
2013-01-29,Warriors,,Stephen Curry,sprained right ankle (DNP)
2013-01-29,Warriors,Jeremy Tyler,,activated from IL
2013-01-30,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-30,Bobcats,,Tyrus Thomas,bruised left knee (DNP)
2013-01-30,Bucks,,Larry Sanders ,placed on IL with illness
2013-01-30,Bucks,Joel Przybilla,,activated from IL
2013-01-30,Bulls,,Carlos Boozer,strained right hamstring (DNP)
2013-01-30,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
2013-01-30,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-01-30,Hawks,,Zaza Pachulia,placed on IL with sore right Achilles tendon
2013-01-30,Hawks,Anthony Morrow,,activated from IL
2013-01-30,Hornets,,Eric Gordon,DNP
2013-01-30,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-01-30,Kings,,John Salmons,placed on IL
2013-01-30,Kings,Tyler Honeycutt,,activated from IL
2013-01-30,Knicks,,Jason Kidd,sore lower back (DNP)
2013-01-30,Magic,,Glen Davis,fractured left foot (out indefinitely)
2013-01-30,Nuggets,,JaVale McGee,left tibia injury (DNP)
2013-01-30,Nuggets,,Julyan Stone,placed on IL
2013-01-30,Nuggets,JaVale McGee,,activated from IL
2013-01-30,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-30,Raptors,,Mickael Pietrus,left knee tendinitis (DNP)
2013-01-30,Spurs,,DeJuan Blair,right knee injury (DNP)
2013-01-30,Spurs,,Matt Bonner,right knee injury (DNP)
2013-01-30,Wizards,,Bradley Beal,sprained right wrist (DNP)
2013-01-31,Mavericks,,Dirk Nowitzki,strained right adductor (DNP)
2013-01-31,Warriors,,Stephen Curry,placed on IL with sprained right ankle
2013-01-31,Warriors,Andrew Bogut,,activated from IL
2013-02-01,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-01,Blazers,,Joel Freeland,placed on IL
2013-02-01,Blazers,Victor Claver,,activated from IL
2013-02-01,Bucks,,Joel Przybilla,placed on IL
2013-02-01,Bucks,Larry Sanders ,,activated from IL
2013-02-01,Bulls,,Carlos Boozer,strained right hamstring (DNP)
2013-02-01,Bulls,,Joakim Noah,right foot injury (DNP)
2013-02-01,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-01,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
2013-02-01,Cavaliers,Kevin Jones,,activated from IL
2013-02-01,Celtics,,Jared Sullinger,placed on IL with surgery on back (out for season)
2013-02-01,Celtics,,Rajon Rondo,placed on IL with torn ACL in right knee (out for season)
2013-02-01,Celtics,Chris Wilcox,,activated from IL
2013-02-01,Celtics,Fab Melo,,activated from IL
2013-02-01,Clippers,,Chris Paul,bruised right knee (DNP)
2013-02-01,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-01,Kings,,James Johnson,sinus infection (DNP)
2013-02-01,Kings,,Tyler Honeycutt,placed on IL
2013-02-01,Kings,John Salmons,,activated from IL
2013-02-01,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2013-02-01,Magic,,Glen Davis,fractured left foot (DNP)
2013-02-01,Mavericks,,Dirk Nowitzki,strained right adductor (DNP)
2013-02-01,Pistons,,Jose Calderon,placed on IL
2013-02-01,Pistons,Khris Middleton,,activated from IL
2013-02-01,Pistons,Viacheslav Kravstov ,,activated from IL
2013-02-01,Raptors,,Hamed Haddadi,placed on IL
2013-02-01,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-02-01,Raptors,Jonas Valanciunas,,activated from IL
2013-02-01,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-01,Wizards,,Bradley Beal,sprained right wrist (DNP)
2013-02-01,Pacers,,Miles Plumlee,placed on IL
2013-02-02,Blazers,,Ronnie Price,placed on IL with sprained right ankle
2013-02-02,Blazers,,Wes Matthews Jr.,sprained right ankle (DNP)
2013-02-02,Blazers,Joel Freeland,,activated from IL
2013-02-02,Bulls,,Carlos Boozer,sore right hamstring (DNP)
2013-02-02,Bulls,,Joakim Noah,right foot injury (DNP)
2013-02-02,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-02,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
2013-02-02,Hawks,,Devin Harris,sore left foot (DNP)
2013-02-02,Hornets,,Eric Gordon,rest / sore back (DNP)
2013-02-02,Jazz,,Earl Watson,sore right leg (DNP)
2013-02-02,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-02,Kings,,James Johnson,sinus infection (DNP)
2013-02-02,Magic,,Glen Davis,fractured left foot (DNP)
2013-02-02,Magic,,Jameer Nelson,bruised left forearm (DNP)
2013-02-02,Spurs,,Aron Baynes,placed on IL
2013-02-02,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2013-02-02,Spurs,Tim Duncan,,activated from IL
2013-02-02,Suns,Diante Garrett,,activated from IL
2013-02-02,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-02,Warriors,,Jeremy Tyler,placed on IL
2013-02-02,Warriors,Stephen Curry,,activated from IL
2013-02-02,Wizards,,Bradley Beal,sprained right wrist (DNP)
2013-02-02,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-03,Clippers,,Chris Paul,bruised right knee (DNP)
2013-02-03,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2013-02-03,Raptors,,Landry Fields,back spasms (DNP)
2013-02-03,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-02-04,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-04,Bobcats,,Michael Kidd-Gilchrist,placed on IL with concussion
2013-02-04,Bobcats,B.J. Mullens,,activated from IL
2013-02-04,Bulls,,Joakim Noah,right foot injury (DNP)
2013-02-04,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-04,Clippers,,Blake Griffin,strained right hamstring (DNP)
2013-02-04,Clippers,,Chris Paul,bruised right knee (DNP)
2013-02-04,Jazz,,Earl Watson,sore right leg (DNP)
2013-02-04,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-04,Magic,,DeQuan Jones,sore left foot (DNP)
2013-02-04,Magic,,Glen Davis,fractured left foot (DNP)
2013-02-04,Magic,,J.J. Redick,sore right shoulder (DNP)
2013-02-04,Magic,,Jameer Nelson,bruised left forearm (DNP)
2013-02-04,Mavericks,,Vince Carter,illness (DNP)
2013-02-04,Pistons,,Corey Maggette,placed on IL
2013-02-04,Pistons,Jose Calderon,,activated from IL
2013-02-04,Thunder,Daniel Orton,,activated from IL
2013-02-04,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-04,Wizards,,Bradley Beal,sprained right wrist (DNP)
2013-02-04,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-05,76ers,,Thaddeus Young,strained left hamstring (out indefinitely)
2013-02-05,Bucks,Joel Przybilla,,activated from IL
2013-02-05,Hawks,,Devin Harris,sore left foot (DNP)
2013-02-05,Lakers,,Dwight Howard,torn labrum in right shoulder (DNP)
2013-02-05,Nets,,Jerry Stackhouse,stiff neck (DNP)
2013-02-05,Rockets,,Carlos Delfino,strained right elbow (DNP)
2013-02-05,Suns,,Diante Garrett,placed on IL
2013-02-05,Suns,Jermaine O'Neal,,activated from IL
2013-02-06,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-06,76ers,,Thaddeus Young,placed on IL with strained left hamstring
2013-02-06,Bucks,,Larry Sanders ,placed on IL with bruised back
2013-02-06,Bucks,,Luc Mbah a Moute,sore right knee (DNP)
2013-02-06,Clippers,,Blake Griffin,strained left hamstring (DNP)
2013-02-06,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-02-06,Clippers,,Jamal Crawford,shoulder injury (DNP)
2013-02-06,Hawks,,DeShawn Stevenson,right knee injury (DTD)
2013-02-06,Heat,,Chris Bosh,placed on IL with flu
2013-02-06,Heat,Jarvis Varnado,,activated from IL
2013-02-06,Jazz,,Earl Watson,sore right leg (DNP)
2013-02-06,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-06,Lakers,,Pau Gasol,torn plantar fascia in right foot (out indefinitely)
2013-02-06,Magic,,Glen Davis,fractured left foot (DNP)
2013-02-06,Magic,,Hedo Turkoglu,flu-like symptoms (DNP)
2013-02-06,Magic,,J.J. Redick,sore right shoulder (DNP)
2013-02-06,Nets,,Jerry Stackhouse,stiff neck (DNP)
2013-02-06,Raptors,,Landry Fields,placed on IL with back spasms
2013-02-06,Raptors,Andrea Bargnani,,activated from IL
2013-02-06,Rockets,,Carlos Delfino,strained right elbow (DNP)
2013-02-06,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2013-02-06,Spurs,,Tim Duncan,placed on IL with sprained left knee
2013-02-06,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2013-02-06,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-06,Warriors,,Andrew Bogut,placed on IL with sore ankle
2013-02-06,Warriors,,Jarrett Jack,right shoulder injury (DNP)
2013-02-06,Warriors,Jeremy Tyler,,activated from IL
2013-02-06,Wizards,,Bradley Beal,sprained right wrist (DNP)
2013-02-06,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-07,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-07,Bulls,,Marco Belinelli,sprained right ankle (DNP)
2013-02-07,Hawks,,Lou Williams,surgery on right knee to repair torn ACL (out for season)
2013-02-07,Lakers,,Pau Gasol,placed on IL with torn plantar fascia in right foot
2013-02-08,76ers,,Jason Richardson,surgery on left knee (out for season) (date approximate)
2013-02-08,Blazers,,Sasha Pavlovic,placed on IL with left foot injury
2013-02-08,Blazers,Ronnie Price,,activated from IL
2013-02-08,Bobcats,,DeSagana Diop,placed on IL
2013-02-08,Bobcats,Michael Kidd-Gilchrist,,activated from IL
2013-02-08,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-08,Clippers,Chauncey Billups,,activated from IL
2013-02-08,Hawks,,DeShawn Stevenson,placed on IL
2013-02-08,Hawks,Zaza Pachulia,,activated from IL
2013-02-08,Heat,,Ray Allen,illness/flu (DNP)
2013-02-08,Jazz,,Earl Watson,sore right leg (DNP)
2013-02-08,Jazz,,Gordon Hayward,strained right shoulder (DNP)
2013-02-08,Magic,,Glen Davis,placed on IL with fractured left foot (out for season)
2013-02-08,Magic,,Hedo Turkoglu,flu (DNP)
2013-02-08,Magic,,J.J. Redick,sore right shoulder (DNP)
2013-02-08,Magic,Arron Afflalo,,activated from IL
2013-02-08,Nets,,Jerry Stackhouse,stiff neck (DNP)
2013-02-08,Pacers,,Sam Young,sore throat / flu (DNP)
2013-02-08,Pistons,,Andre Drummond,placed on IL with stress fracture in back
2013-02-08,Pistons,Corey Maggette,,activated from IL
2013-02-08,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-02-08,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2013-02-08,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2013-02-08,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-08,Warriors,,Jarrett Jack,right shoulder injury (DNP)
2013-02-08,Warriors,,Jeremy Tyler,placed on IL
2013-02-08,Warriors,Andrew Bogut,,activated from IL
2013-02-08,Wizards,,Jordan Crawford,DNP
2013-02-08,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-09,76ers,,Jason Richardson,placed on IL with surgery on left knee (out for season)
2013-02-09,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-09,Warriors,,Andrew Bogut,placed on IL with sore left ankle / rest
2013-02-09,Warriors,,Jarrett Jack,bruised right shoulder (DNP)
2013-02-09,Warriors,Jeremy Tyler,,activated from IL
2013-02-10,Grizzlies,Quincy Pondexter,,activated from IL
2013-02-10,Heat,,Jarvis Varnado,placed on IL
2013-02-10,Heat,Chris Bosh,,activated from IL
2013-02-10,Magic,,Hedo Turkoglu,sore back (DNP)
2013-02-10,Raptors,,Andrea Bargnani,flu (DNP)
2013-02-10,Raptors,,Linas Kleiza,placed on IL with sore right knee
2013-02-10,Raptors,Landry Fields,,activated from IL
2013-02-10,Rockets,,Toney Douglas,left hip pointer (DNP)
2013-02-10,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2013-02-10,Thunder,,Kevin Martin,flu (DNP)
2013-02-10,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2013-02-10,Timberwolves,,Jose Barea ,left foot injury (DNP)
2013-02-10,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-11,Bobcats,,Tyrus Thomas,placed on IL
2013-02-11,Bobcats,DeSagana Diop,,activated from IL
2013-02-11,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-02-11,Clippers,,Caron Butler,sore lower back (DNP)
2013-02-11,Clippers,,Chauncey Billups,sore lower back (DNP)
2013-02-11,Hawks,,Johan Petro,placed on IL
2013-02-11,Hawks,DeShawn Stevenson,,activated from IL
2013-02-11,Hawks,Zaza Pachulia,,activated from IL (P)
2013-02-11,Hornets,,Eric Gordon,knee injury (DNP)
2013-02-11,Nets,,Deron Williams,placed on IL with ankle injury
2013-02-11,Nets,Tornike Shengelia,,activated from IL
2013-02-11,Pacers,,Sam Young,sore throat / flu (DNP)
2013-02-11,Spurs,, Tony Parker,knee injury (DNP)
2013-02-11,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2013-02-11,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2013-02-11,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-11,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-12,Blazers,,Will Barton,placed on IL
2013-02-12,Blazers,Sasha Pavlovic,,activated from IL
2013-02-12,Celtics,,Leandro Barbosa,torn ACL in left knee (out for season)
2013-02-12,Heat,,Mike Miller,placed on IL with flu
2013-02-12,Heat,Jarvis Varnado,,activated from IL
2013-02-12,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-12,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2013-02-12,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2013-02-12,Nuggets,,Wilson Chandler,tightness in left groin (DNP)
2013-02-12,Rockets,,Toney Douglas,left hip pointer (DNP)
2013-02-12,Warriors,,Jeremy Tyler,placed on IL
2013-02-12,Warriors,Andrew Bogut,,activated from IL
2013-02-13,Blazers,,Nolan Smith,placed on IL
2013-02-13,Blazers,Will Barton,,activated from IL
2013-02-13,Celtics,,Rajon Rondo,surgery on left knee to repair torn ACL (out for season)
2013-02-13,Hawks,Johan Petro,,activated from IL
2013-02-13,Hornets,,Eric Gordon,sprained right hand (DNP)
2013-02-13,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2013-02-13,Kings,,Marcus Thornton ,placed on IL with bruised right hand
2013-02-13,Kings,Tyler Honeycutt,,activated from IL
2013-02-13,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2013-02-13,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2013-02-13,Pacers,,David West,placed on IL with eye injury
2013-02-13,Pacers,Miles Plumlee,,activated from IL
2013-02-13,Rockets,,Toney Douglas,left hip pointer (DNP)
2013-02-13,Spurs,Tim Duncan,,activated from IL
2013-02-13,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2013-02-13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-13,Wizards,,Trevor Booker,sore left wrist (DNP)
2013-02-14,Heat,,Udonis Haslem,placed on IL with leg injury
2013-02-14,Heat,Mike Miller,,activated from IL
2013-02-19,Blazers,,Wes Matthews Jr.,placed on IL with sprained right ankle
2013-02-19,Blazers,Nolan Smith,,activated from IL
2013-02-19,Bucks,,Marquis Daniels,placed on IL with illness
2013-02-19,Bucks,Larry Sanders ,,activated from IL
2013-02-19,Bulls,Kirk Hinrich,,activated from IL (P)
2013-02-19,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2013-02-19,Kings,Marcus Thornton ,,activated from IL
2013-02-19,Nets,,Tornike Shengelia,placed on IL
2013-02-19,Nets,Deron Williams,,activated from IL
2013-02-20,Bobcats,,Ben Gordon,sore right knee (DNP)
2013-02-20,Bucks,,Joel Przybilla,placed on IL
2013-02-20,Bucks,Marquis Daniels,,activated from IL
2013-02-20,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2013-02-20,Heat,,Mike Miller,placed on IL with ear infection
2013-02-20,Heat,Udonis Haslem,,activated from IL
2013-02-20,Hornets,,Eric Gordon,sprained right hand (DNP)
2013-02-20,Hornets,,Eric Gordon,DNP
2013-02-20,Pacers,,Miles Plumlee,placed on IL
2013-02-20,Pacers,David West,,activated from IL
2013-02-20,Rockets,,Marcus Morris,placed on IL
2013-02-20,Rockets,Greg Smith ,,activated from IL
2013-02-20,Rockets,Terrence Jones,,activated from IL
2013-02-20,Thunder,,Kendrick Perkins,placed on IL with sprained right knee
2013-02-20,Thunder,Jeremy Lamb,,activated from IL
2013-02-20,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-02-20,Rockets,,Toney Douglas,left hip pointer (DNP)
2013-02-21,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2013-02-21,Spurs,,Kawhi Leonard,placed on IL with knee injury
2013-02-22,Blazers,,Eric Maynor,placed on IL
2013-02-22,Blazers,Wes Matthews Jr.,,activated from IL
2013-02-22,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2013-02-22,Celtics,,Kevin Garnett,DNP
2013-02-22,Hawks,,Jeremy Tyler,placed on IL
2013-02-22,Hawks,Johan Petro,,activated from IL (P)
2013-02-22,Magic,,Jameer Nelson,strained patellar tendon in left knee (DNP)
2013-02-22,Nets,,Jerry Stackhouse,illness (DNP)
2013-02-22,Nets,,Joe Johnson,placed on IL with plantar fasciitis in left foot
2013-02-22,Nets,Tornike Shengelia,,activated from IL
2013-02-22,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2013-02-22,Raptors,,Terrence Ross,stomach flu (DNP)
2013-02-22,Spurs,,Aron Baynes,placed on IL
2013-02-22,Spurs,,Stephen Jackson,DNP
2013-02-22,Spurs,Kawhi Leonard,,activated from IL
2013-02-22,Suns,,Hamed Haddadi,placed on IL
2013-02-22,Suns,Diante Garrett,,activated from IL
2013-02-22,Thunder,,Ronnie Brewer,placed on IL
2013-02-22,Thunder,Kendrick Perkins,,activated from IL
2013-02-22,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
