Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Deputy Sheriff,Walter T. Hoffman,Motorcycle crash,"Monday, July 1, 1929",1929,July,Monday,"Lucas County Sheriff's Department, OH",Ohio,0
Police Officer,Arthur L. Pascolini,Gunfire (Inadvertent),"Tuesday, July 2, 1929",1929,July,Tuesday,"Detroit Police Department, MI",Michigan,0
Patrolman,George Ira Thompson,Motorcycle crash,"Tuesday, July 2, 1929",1929,July,Tuesday,"North Carolina Highway Patrol, NC",North Carolina,0
Patrolman,Wilson Fugate,Heart attack,"Tuesday, July 2, 1929",1929,July,Tuesday,"Reno Police Department, NV",Nevada,0
Patrolman,Oliver P. Holderby,Gunfire,"Thursday, July 4, 1929",1929,July,Thursday,"Springfield Police Department, OH",Ohio,0
Deputy Sheriff,E. R. Marsh,Gunfire,"Sunday, July 7, 1929",1929,July,Sunday,"Ouachita County Sheriff's Office, AR",Arkansas,0
Patrolman,John J. Sweeney,Gunfire,"Sunday, July 7, 1929",1929,July,Sunday,"Chicago Police Department, IL",Illinois,0
Federal Prohibition Agent,George A. Droz,Accidental,"Friday, July 12, 1929",1929,July,Friday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Patrolman,Edward Harry Green,Gunfire,"Saturday, July 13, 1929",1929,July,Saturday,"North Platte Police Department, NE",Nebraska,0
Patrolman,Stephen Janeda,Motorcycle crash,"Monday, July 15, 1929",1929,July,Monday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Patrol Inspector,Ivan E. Scotten,Gunfire,"Saturday, July 20, 1929",1929,July,Saturday,"United States Department of Labor - Immigration Service - United States Border Patrol, US",United States,0
Officer,Harry J. McDonald,Gunfire,"Monday, July 22, 1929",1929,July,Monday,"Metropolitan Police Department, DC",District of Columbia,0
Deputy Sheriff,D. E. Tidwell,Gunfire,"Tuesday, July 23, 1929",1929,July,Tuesday,"Franklin County Sheriff's Office, AL",Alabama,0
Police Officer,"James R. Walraven, Sr.",Gunfire,"Tuesday, July 23, 1929",1929,July,Tuesday,"Texarkana Police Department, TX",Texas,0
Motorcycle Policeman,Roscoe C. Shipp,Vehicle pursuit,"Wednesday, July 24, 1929",1929,July,Wednesday,"Indianapolis Police Department, IN",Indiana,0
Customs Agent,Arthur M. Beaman,Drowned,"Saturday, July 27, 1929",1929,July,Saturday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Chief of Police,Robert E. Bob Burch,Vehicle pursuit,"Saturday, July 27, 1929",1929,July,Saturday,"Abilene Police Department, TX",Texas,0
Officer,Jack Parker,Motorcycle crash,"Sunday, July 28, 1929",1929,July,Sunday,"East Point Police Department, GA",Georgia,0
Detective Sergeant,John Nerad,Gunfire,"Sunday, July 28, 1929",1929,July,Sunday,"Cicero Police Department, IL",Illinois,0
Special Agent,Benjamin Logan Mayfield,Struck by train,"Sunday, July 28, 1929",1929,July,Sunday,"Chicago, Burlington and Quincy Railroad Police Department, RR",United States,0
Patrolman,William A. Kertin,Automobile crash,"Sunday, July 28, 1929",1929,July,Sunday,"New York City Police Department, NY",New York,0
Federal Prohibition Agent,"Charles Foster Cooley, Jr.",Automobile crash,"Tuesday, July 30, 1929",1929,July,Tuesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Deputy U.S. Marshal,Adrian Metcalf,Gunfire,"Wednesday, July 31, 1929",1929,July,Wednesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Chief Deputy,Clyde L. Hauver,Gunfire,"Wednesday, July 31, 1929",1929,July,Wednesday,"Frederick County Sheriff's Office, MD",Maryland,0
Patrolman,Herbert V. Fitzgerald,Gunfire,"Thursday, August 1, 1929",1929,August,Thursday,"Savannah Police Department, GA",Georgia,0
Federal Prohibition Agent,Richard J. Sandlands,Assault,"Friday, August 2, 1929",1929,August,Friday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Deputy Sheriff,Henry Marion Mumpower,Duty related illness,"Saturday, August 3, 1929",1929,August,Saturday,"Washington County Sheriff's Office, VA",Virginia,0
Police Officer,William W. Spencer,Gunfire,"Monday, August 5, 1929",1929,August,Monday,"Detroit Police Department, MI",Michigan,0
Deputy Sheriff,John H. Weidkamp,Gunfire,"Tuesday, August 6, 1929",1929,August,Tuesday,"Adams County Sheriff's Office, IL",Illinois,0
Special Agent,Paul E. Reynolds,Gunfire,"Friday, August 9, 1929",1929,August,Friday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Federal Prohibition Agent,Arthur Alvin Zimmerman,Struck by vehicle,"Sunday, August 11, 1929",1929,August,Sunday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Police Officer,Harry E. Albin,Automobile crash,"Sunday, August 11, 1929",1929,August,Sunday,"Freeport Police Department, NY",New York,0
Sergeant,Edward Q. Butters,Automobile crash,"Wednesday, August 14, 1929",1929,August,Wednesday,"Boston Police Department, MA",Massachusetts,0
Deputy Sheriff,Thomas G. Blount,Gunfire,"Saturday, August 17, 1929",1929,August,Saturday,"Walton County Sheriff's Office, FL",Florida,0
Chief of Police,Peter Holt,Gunfire,"Wednesday, August 21, 1929",1929,August,Wednesday,"Livingston Police Department, MT",Montana,0
Police Officer,Martin Zollman,Gunfire,"Wednesday, August 21, 1929",1929,August,Wednesday,"Livingston Police Department, MT",Montana,0
Officer,Rexford C. Wright,Gunfire (Inadvertent),"Thursday, August 22, 1929",1929,August,Thursday,"Montgomery Police Department, AL",Alabama,0
Deputy Sheriff,James Garfield Pugh,Gunfire,"Saturday, August 24, 1929",1929,August,Saturday,"Jasper County Sheriff's Office, MS",Mississippi,0
Deputy Sheriff,Joseph Obie Talley,Gunfire,"Saturday, August 24, 1929",1929,August,Saturday,"Newton County Sheriff's Department, TX",Texas,0
Special Agent,Glenn Lafayette Varnell,Gunfire,"Sunday, August 25, 1929",1929,August,Sunday,"Southern Railway Police Department, RR",United States,0
Patrolman,Robert Emmett McGalin,Gunfire,"Sunday, August 25, 1929",1929,August,Sunday,"Louisville Police Department, KY",Kentucky,0
Marshal,John Mathew Ingerman,Gunfire,"Monday, August 26, 1929",1929,August,Monday,"Cambridge City Police Department, IN",Indiana,0
Patrolman,Arthur F. Aiello,Automobile crash,"Thursday, August 29, 1929",1929,August,Thursday,"Peoria Police Department, IL",Illinois,0
Patrolman,Abraham Lincoln Bowline,Gunfire,"Thursday, August 29, 1929",1929,August,Thursday,"Tulsa County Highway Patrol, OK",Oklahoma,0
Patrolman,Ross Darrow,Gunfire,"Thursday, August 29, 1929",1929,August,Thursday,"Tulsa County Highway Patrol, OK",Oklahoma,0
Officer,William Rogers,Gunfire,"Friday, August 30, 1929",1929,August,Friday,"Mecklenburg County Police Department, NC",North Carolina,0
Patrolman,Frank A. Sedlach,Motorcycle crash,"Saturday, August 31, 1929",1929,August,Saturday,"Chicago Police Department, IL",Illinois,0
Patrol Officer,Paul Scholz,Explosion,"Saturday, August 31, 1929",1929,August,Saturday,"Union City Police Department, NJ",New Jersey,0
Deputy Sheriff,John Wesley O'Bryen,Gunfire,"Sunday, September 1, 1929",1929,September,Sunday,"Etowah County Sheriff's Office, AL",Alabama,0
Constable,Earl C. Wisler,Assault,"Sunday, September 1, 1929",1929,September,Sunday,"Atlantic City Police Department, NJ",New Jersey,0
Patrolman,John Ivar Jackson,Struck by vehicle,"Wednesday, September 4, 1929",1929,September,Wednesday,"Boston Police Department, MA",Massachusetts,0
Night Policeman,Frank Herrmann,Struck by vehicle,"Thursday, September 5, 1929",1929,September,Thursday,"Bluffton Police Department, OH",Ohio,0
Police Officer,Allison Schultz,Motorcycle crash,"Sunday, September 8, 1929",1929,September,Sunday,"Pontiac Police Department, MI",Michigan,0
Constable,John Johnson Fleming,Gunfire,"Sunday, September 8, 1929",1929,September,Sunday,"Panola County Constable's Office - Precinct 8, TX",Texas,0
Senior Patrol Inspector,Miles Joseph Scannell,Gunfire,"Monday, September 9, 1929",1929,September,Monday,"United States Department of Labor - Immigration Service - United States Border Patrol, US",United States,0
Detective,Ed Jones,Gunfire,"Friday, September 13, 1929",1929,September,Friday,"Houston Police Department, TX",Texas,0
Patrolman,William Freeman Newcome,Automobile crash,"Saturday, September 14, 1929",1929,September,Saturday,"Louisville Police Department, KY",Kentucky,0
Officer,George Vierra,Gunfire,"Tuesday, September 17, 1929",1929,September,Tuesday,"Hayward Police Department, CA",California,0
Chief of Police,Adolph J. Eichenberger,Gunfire,"Tuesday, September 17, 1929",1929,September,Tuesday,"Florence Police Department, KS",Kansas,0
Patrolman,Robert B. McPherson,Assault,"Thursday, September 19, 1929",1929,September,Thursday,"San Diego Police Department, CA",California,0
Guard,Dock M. Garrett,Assault,"Thursday, September 19, 1929",1929,September,Thursday,"South Carolina Department of Corrections, SC",South Carolina,0
Patrolman,George Segnit,Motorcycle crash,"Saturday, September 21, 1929",1929,September,Saturday,"Westchester County Parkway Police Department, NY",New York,0
Lieutenant,Thomas L. Payne,Struck by vehicle,"Monday, September 23, 1929",1929,September,Monday,"New Rochelle Police Department, NY",New York,0
Deputy Sheriff,Edward Schumacker,Automobile crash,"Monday, September 23, 1929",1929,September,Monday,"Hancock County Sheriff's Office, WV",West Virginia,0
Policeman,Patrick J. Costella,Automobile crash,"Monday, September 23, 1929",1929,September,Monday,"Hollidays Cove Police Department, WV",West Virginia,0
Border Patrolman,Charles Wilbur Rogers,Automobile crash,"Tuesday, September 24, 1929",1929,September,Tuesday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Sheriff,William London,Gunfire,"Tuesday, September 24, 1929",1929,September,Tuesday,"St. Francois County Sheriff's Office, MO",Missouri,0
Assistant Chief of Police,Thomas Krokoski,Gunfire,"Wednesday, September 25, 1929",1929,September,Wednesday,"Luzerne Borough Police Department, PA",Pennsylvania,0
Federal Prohibition Agent,Charles F. Stevens,Gunfire,"Wednesday, September 25, 1929",1929,September,Wednesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Constable,Arthur Jerry McDonald,Gunfire,"Thursday, September 26, 1929",1929,September,Thursday,"Pinole Police Department, CA",California,0
Patrolman,Jesse D. Hults,Gunfire,"Thursday, September 26, 1929",1929,September,Thursday,"Chicago Police Department, IL",Illinois,0
Patrolman,William Gallagher,Gunfire,"Thursday, September 26, 1929",1929,September,Thursday,"Chicago Police Department, IL",Illinois,0
Police Officer,Vincent Bernard O'Donnell,Assault,"Thursday, September 26, 1929",1929,September,Thursday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy Sheriff,Ralph Manning Hoy,Automobile crash,"Friday, September 27, 1929",1929,September,Friday,"DuPage County Sheriff's Office, IL",Illinois,0
Chief Deputy,Gordon Leonard,Automobile crash,"Friday, September 27, 1929",1929,September,Friday,"DuPage County Sheriff's Office, IL",Illinois,0
Game Protector,William T. Cramer,Gunfire,"Sunday, September 29, 1929",1929,September,Sunday,"New York State Environmental Conservation Police, NY",New York,0
Police Officer,Carl Daniel Dubson,Motorcycle crash,"Monday, September 30, 1929",1929,September,Monday,"Lockport Police Department, IL",Illinois,0
Guard,J. W. McClelland,Assault,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,Elmer G. Erwin,Assault,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,John J. Eeles,Assault,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,Raymond Brown,Gunfire,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,C. Walter Rinker,Gunfire,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,Charles G. Shepherd,Assault,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Guard,Robert A. Wiggins,Gunfire,"Thursday, October 3, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Patrolman,William Joseph McCaffrey,Struck by vehicle,"Thursday, October 3, 1929",1929,October,Thursday,"New York City Police Department, NY",New York,0
Patrolman,Joseph K. Vorholz,Motorcycle crash,"Friday, October 4, 1929",1929,October,Friday,"Morristown Police Department, NJ",New Jersey,0
Patrolman,Thomas Joseph Sullivan,Motorcycle crash,"Saturday, October 5, 1929",1929,October,Saturday,"Metropolitan Police Department, MA",Massachusetts,0
Police Officer,William Frederick Valet,Heart attack,"Saturday, October 5, 1929",1929,October,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Park Policeman,Fred Mudloff,Motorcycle crash,"Sunday, October 6, 1929",1929,October,Sunday,"Lincoln Park District Police Department, IL",Illinois,0
Detective Sergeant,Leo Kenneth Fox,Gunfire,"Wednesday, October 9, 1929",1929,October,Wednesday,"Hammond Police Department, IN",Indiana,0
Patrolman,Henry Douglas Cossmann,Motorcycle crash,"Wednesday, October 9, 1929",1929,October,Wednesday,"Washington State Patrol, WA",Washington,0
Guard,Myron H. Goodwin,Gunfire,"Thursday, October 10, 1929",1929,October,Thursday,"Colorado Department of Corrections, CO",Colorado,0
Detective,Martin A. Sieber,Struck by train,"Friday, October 11, 1929",1929,October,Friday,"Louisville and Nashville Railroad Police Department, RR",United States,0
Patrolman,Amos L. Hamilton,Gunfire,"Saturday, October 12, 1929",1929,October,Saturday,"Frankfort Police Department, IN",Indiana,0
Patrolman,Wells Cortright Hammond,Motorcycle crash,"Monday, October 14, 1929",1929,October,Monday,"Pennsylvania State Highway Patrol, PA",Pennsylvania,0
City Marshal,Edward C. Powell,Gunfire,"Tuesday, October 15, 1929",1929,October,Tuesday,"Nocona Police Department, TX",Texas,0
Federal Prohibition Agent,Carl Louis Rehm,Automobile crash,"Wednesday, October 16, 1929",1929,October,Wednesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Detective,David E. Coy,Gunfire,"Thursday, October 17, 1929",1929,October,Thursday,"Detroit Police Department, MI",Michigan,0
Patrolman,George W. Olsen,Motorcycle crash,"Thursday, October 17, 1929",1929,October,Thursday,"Elmsford Police Department, NY",New York,0
Officer,William Murphy,Gunfire,"Friday, October 18, 1929",1929,October,Friday,"Mobile Police Department, AL",Alabama,0
Deputy Sheriff,Willie Ellison Hall,Gunfire,"Friday, October 18, 1929",1929,October,Friday,"Durham County Sheriff's Office, NC",North Carolina,0
Patrolman,George F. Giovannoni,Gunfire,"Saturday, October 19, 1929",1929,October,Saturday,"Chicago Police Department, IL",Illinois,0
Patrolman,Charles Sauer,Gunfire,"Sunday, October 20, 1929",1929,October,Sunday,"New York City Police Department, NY",New York,0
Detective,Thomas H. Jenkins,Gunfire,"Monday, October 21, 1929",1929,October,Monday,"Charlotte Police Department, NC",North Carolina,0
Patrolman,George Robert Johnson,Motorcycle crash,"Wednesday, October 23, 1929",1929,October,Wednesday,"Kansas City Police Department, MO",Missouri,0
Officer,Eugene W. Minor,Gunfire,"Friday, October 25, 1929",1929,October,Friday,"St. Petersburg Police Department, FL",Florida,0
Constable,Frank W. Miller,Gunfire,"Monday, October 28, 1929",1929,October,Monday,"Petersburg Police Department, MI",Michigan,0
Officer,Howard Garlinger,Motorcycle crash,"Wednesday, October 30, 1929",1929,October,Wednesday,"California Highway Patrol, CA",California,0
Deputy Sheriff,John Allen Pegram,Assault,"Thursday, October 31, 1929",1929,October,Thursday,"Rockingham County Sheriff's Office, NC",North Carolina,0
Patrolman,McKinley Massengale,Gunfire,"Friday, November 1, 1929",1929,November,Friday,"Somerset Police Department, KY",Kentucky,0
Detective,Edward Butler,Gunfire,"Sunday, November 3, 1929",1929,November,Sunday,"Cleveland Division of Police, OH",Ohio,0
Patrolman,Leon L. Prudent,Fall,"Tuesday, November 5, 1929",1929,November,Tuesday,"Niagara Falls Police Department, NY",New York,0
Patrolman,Poley Lloyd Faulkner,Gunfire,"Thursday, November 7, 1929",1929,November,Thursday,"Winchester Police Department, KY",Kentucky,0
Deputy Marshal,Ralph J. Zahnle,Gunfire,"Thursday, November 7, 1929",1929,November,Thursday,"Harbor View Police Department, OH",Ohio,0
Patrolman,James A. Jim Keirsey,Gunfire,"Thursday, November 7, 1929",1929,November,Thursday,"Seminole Police Department, OK",Oklahoma,0
Policeman,Phillip A. Bruce,Automobile crash,"Saturday, November 9, 1929",1929,November,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Police Officer,Lloyd O. Schultz,Motorcycle crash,"Tuesday, November 12, 1929",1929,November,Tuesday,"Detroit Police Department, MI",Michigan,0
Detective,Roy Fordyce,Gunfire,"Wednesday, November 13, 1929",1929,November,Wednesday,"Spokane Police Department, WA",Washington,0
Officer,Edgar Preston Alexander,Automobile crash,"Saturday, November 16, 1929",1929,November,Saturday,"Metropolitan Police Department, DC",District of Columbia,0
