Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Chris Armas,CHI,M,31,31,2790,1,10,25,10,0,0/0,0,1,0.03,4.0,3,4,6,0.32,51,54,0,3,0,40.0,1998,reg
Billy Thompson,CLB,M,29,24,2190,1,8,17,8,1,0/0,1,0,0.04,5.9,2,5,3,0.33,23,52,3,2,0,47.06,1998,reg
Mike Burns,NE ,M,23,23,2025,1,8,18,5,0,0/0,0,1,0.04,5.6,4,4,4,0.36,32,9,2,3,1,27.78,1998,reg
Jorge Salcedo,CHI,M,26,21,1909,1,7,18,6,0,0/0,1,0,0.05,5.6,1,3,4,0.33,30,27,3,3,0,33.33,1998,reg
Marcelo Vega,MET,M,17,13,1055,1,6,39,19,0,0/0,1,0,0.09,2.6,2,4,2,0.51,11,29,10,5,1,48.72,1998,reg
Chris Houser,TB ,D,24,22,2005,1,5,6,2,0,0/0,1,0,0.04,16.7,1,3,2,0.22,46,24,1,7,1,33.33,1998,reg
Tab Ramos,MET,M,17,16,1455,1,5,19,8,0,0/0,1,0,0.06,5.3,0,4,1,0.31,14,43,3,2,1,42.11,1998,reg
Leo Cullen,MIA,M,31,30,2680,1,4,6,4,0,0/0,1,0,0.03,16.7,0,2,2,0.13,11,11,0,1,0,66.67,1998,reg
Jeff Agoos,DC ,D,21,20,1780,1,4,13,6,1,0/0,0,1,0.05,7.7,1,3,1,0.2,15,27,0,1,1,46.15,1998,reg
Wellington Sanchez,LA ,M,13,9,698,1,4,15,8,0,0/0,1,0,0.13,6.7,1,1,3,0.52,21,24,2,5,0,53.33,1998,reg
Temoc Suarez,DAL,M,20,10,831,1,4,16,7,0,0/0,0,1,0.11,6.3,0,2,2,0.43,16,12,3,1,0,43.75,1998,reg
Paul Keegan,NE ,F,20,7,892,1,4,17,6,0,0/0,0,1,0.1,5.9,1,1,3,0.4,33,24,4,1,0,35.29,1998,reg
Brian Kamler,DC ,M,22,20,1743,1,4,23,9,0,0/0,1,0,0.05,4.3,1,3,1,0.21,9,22,2,1,0,39.13,1998,reg
Scott Vermillion,KC ,D,22,22,1955,1,3,10,6,0,0/1,1,0,0.05,10.0,1,1,2,0.14,31,18,3,2,0,60.0,1998,reg
Mike Duhaney,MET,D,30,26,2361,1,3,15,5,0,0/0,0,1,0.04,6.7,0,1,2,0.11,29,33,1,5,1,33.33,1998,reg
Marcelo Carrera,CLB,F,16,5,595,1,3,17,6,0,0/0,1,0,0.15,5.9,2,2,1,0.45,10,8,0,1,0,35.29,1998,reg
Brian West,CLB,M-F,13,4,478,1,2,10,4,0,0/0,1,0,0.19,10.0,1,2,0,0.38,16,19,5,1,0,40.0,1998,reg
Richard Farrer,DAL,D,28,24,2119,1,2,11,4,0,0/0,0,1,0.04,9.1,1,0,2,0.08,33,13,3,3,0,36.36,1998,reg
Richard Goulooze,NE ,D,29,29,2529,1,2,12,2,1,0/0,0,1,0.04,8.3,0,1,1,0.07,52,7,0,2,1,16.67,1998,reg
Thomas Dooley,CLB,D,23,23,2008,1,2,21,9,0,0/0,1,0,0.04,4.8,1,2,0,0.09,20,13,0,2,0,42.86,1998,reg
John Doyle,SJ ,D,28,27,2431,1,2,23,13,0,0/0,1,0,0.04,4.3,1,0,2,0.07,46,31,3,6,0,56.52,1998,reg
Paul Caligiuri,LA ,D,18,14,1293,1,1,5,1,0,0/0,0,1,0.07,20.0,1,0,1,0.07,18,13,0,4,0,20.0,1998,reg
Frank Yallop,TB ,D,32,29,2703,1,1,11,3,1,0/0,0,1,0.03,9.1,0,1,0,0.03,26,18,0,3,0,27.27,1998,reg
Mike Petke,MET,D,27,25,2234,1,1,17,4,1,0/0,1,0,0.04,5.9,0,1,0,0.04,21,27,1,1,0,23.53,1998,reg
Steve Trittschuh,COL,D,30,30,2700,1,1,25,9,0,0/0,0,1,0.03,4.0,1,0,1,0.03,43,19,0,10,0,36.0,1998,reg
Mike Lapper,CLB,D,7,7,560,1,0,4,1,0,0/0,1,0,0.16,25.0,0,0,0,0.0,11,8,0,1,1,25.0,1998,reg
Jose Vasquez,LA ,D,8,2,291,1,0,4,3,0,0/0,0,1,0.31,25.0,0,0,0,0.0,7,2,2,1,0,75.0,1998,reg
Eddie Pope,DC ,D,20,20,1754,1,0,6,2,0,0/0,0,1,0.05,16.7,0,0,0,0.0,23,19,0,4,1,33.33,1998,reg
Pete Marino,KC ,F,11,1,276,1,0,8,3,1,0/0,1,0,0.33,12.5,0,0,0,0.0,3,5,7,0,0,37.5,1998,reg
Roger Thomas,MIA,M,5,4,310,1,0,9,4,0,0/0,1,0,0.29,11.1,0,0,0,0.0,8,6,2,2,0,44.44,1998,reg
Jorge Flores,DAL,M,14,8,777,1,0,11,4,0,0/0,0,1,0.12,9.1,0,0,0,0.0,13,7,0,4,0,36.36,1998,reg
Tyrone Marshall,COL,D,9,3,349,1,0,13,6,0,0/0,0,1,0.26,7.7,0,0,0,0.0,13,7,2,0,0,46.15,1998,reg
Ansil Elcock,CLB,D,28,27,2409,0,8,12,4,0,0/0,0,0,0.0,0.0,2,7,1,0.3,44,24,4,4,0,33.33,1998,reg
Chris Martinez,COL,D,28,28,2358,0,7,5,2,0,0/0,0,0,0.0,0.0,1,4,3,0.27,20,13,0,3,0,40.0,1998,reg
Martin Vasquez,SJ ,M,28,24,2076,0,7,14,4,0,0/0,0,0,0.0,0.0,1,2,5,0.3,55,25,1,6,0,28.57,1998,reg
Oscar Pareja,DAL,M,19,17,1486,0,7,18,5,0,0/0,0,0,0.0,0.0,3,3,4,0.42,29,44,2,4,0,27.78,1998,reg
Leonel Alvarez,DAL,M,27,27,2338,0,6,19,6,0,0/1,0,0,0.0,0.0,2,3,3,0.23,63,34,2,12,2,31.58,1998,reg
Mike Sorber,MET,M,28,24,2158,0,6,19,10,0,0/0,0,0,0.0,0.0,1,5,1,0.25,41,23,4,4,1,52.63,1998,reg
Kris Kelderman,MIA,M,21,14,1187,0,5,15,2,0,0/0,0,0,0.0,0.0,2,4,1,0.38,11,2,1,0,0,13.33,1998,reg
Paul Young,TB ,F,14,8,768,0,5,30,11,0,0/0,0,0,0.0,0.0,0,4,1,0.59,5,19,13,0,0,36.67,1998,reg
Tahj Jakins,COL,D,22,13,1147,0,4,4,2,0,0/0,0,0,0.0,0.0,1,2,2,0.31,30,13,0,3,1,50.0,1998,reg
Joe Franchino,LA ,M,16,7,736,0,4,7,4,0,0/0,0,0,0.0,0.0,0,0,4,0.49,15,13,0,4,0,57.14,1998,reg
Mark Santel,DAL,M,21,20,1634,0,4,12,8,0,0/0,0,0,0.0,0.0,1,3,1,0.22,28,15,5,3,0,66.67,1998,reg
Pablo Mastroeni,MIA,M,23,19,1611,0,4,21,6,0,0/0,0,0,0.0,0.0,2,2,2,0.22,25,16,8,2,0,28.57,1998,reg
Francis Okaroh,CHI,D,26,26,2294,0,3,0,0,0,0/0,0,0,0.0,0.0,0,1,2,0.12,32,18,0,6,0,,1998,reg
Scott Cannon,CLB,D,15,9,750,0,3,2,0,0,0/0,0,0,0.0,0.0,1,2,1,0.36,6,9,1,0,0,0.0,1998,reg
Brian Sebapole,SJ ,F,12,0,238,0,3,3,2,0,0/0,0,0,0.0,0.0,1,1,2,1.13,3,6,0,0,0,66.67,1998,reg
Shawn Medved,SJ ,M,19,12,1059,0,3,7,1,0,0/0,0,0,0.0,0.0,0,1,2,0.25,26,13,0,3,0,14.29,1998,reg
Diego Gutierrez,CHI,D,13,8,812,0,3,8,2,0,0/0,0,0,0.0,0.0,1,2,1,0.33,24,13,0,1,1,25.0,1998,reg
Jason Boyce,COL,F,15,6,597,0,3,12,7,0,0/0,0,0,0.0,0.0,1,2,1,0.45,12,21,1,1,0,58.33,1998,reg
Guillermo Jara,LA ,M,16,4,571,0,3,12,1,0,0/0,0,0,0.0,0.0,1,3,0,0.47,15,3,1,0,0,8.33,1998,reg
Refik Sabanadzovic,KC ,M,21,19,1644,0,2,1,0,0,0/0,0,0,0.0,0.0,2,1,1,0.11,38,21,0,6,1,0.0,1998,reg
Ricardo Iribarren,CLB,D,24,22,1780,0,2,2,1,0,0/0,0,0,0.0,0.0,0,1,1,0.1,42,10,1,8,1,50.0,1998,reg
Manny Motajo,NE ,D,15,12,1012,0,2,3,1,0,0/0,0,0,0.0,0.0,0,1,1,0.18,24,3,0,4,1,33.33,1998,reg
Goran Hunjak,KC ,M,12,2,261,0,2,4,1,0,0/0,0,0,0.0,0.0,0,1,1,0.69,7,4,2,0,0,25.0,1998,reg
Billy Walsh,MET,M,8,3,337,0,2,4,1,0,0/0,0,0,0.0,0.0,0,1,1,0.53,2,1,0,0,0,25.0,1998,reg
Uche Okafor,KC ,D,22,22,1967,0,2,5,1,0,0/0,0,0,0.0,0.0,0,1,1,0.09,25,8,0,4,0,20.0,1998,reg
Geoff Aunger,DC ,D,22,15,1389,0,2,5,1,0,0/0,0,0,0.0,0.0,0,0,2,0.13,31,13,0,6,0,20.0,1998,reg
Alain Sutter,DAL,M,4,4,341,0,2,7,2,0,0/0,0,0,0.0,0.0,0,1,1,0.53,1,11,0,1,0,28.57,1998,reg
Scott Uderitz,KC ,D,22,18,1660,0,2,7,3,0,0/0,0,0,0.0,0.0,1,2,0,0.11,42,17,0,3,0,42.86,1998,reg
Andrew Gregor,CLB,M,10,3,357,0,2,7,3,0,0/0,0,0,0.0,0.0,0,2,0,0.5,6,9,0,3,0,42.86,1998,reg
Matt Kmosko,MIA,D,27,25,2232,0,2,9,5,0,0/0,0,0,0.0,0.0,0,1,1,0.08,37,26,8,4,1,55.56,1998,reg
Carlos Parra,MET,M,18,16,1367,0,2,9,4,0,0/0,0,0,0.0,0.0,1,2,0,0.13,26,10,0,3,0,44.44,1998,reg
Mike Clark,CLB,D,30,30,2571,0,2,9,2,0,0/0,0,0,0.0,0.0,1,2,0,0.07,41,34,1,4,1,22.22,1998,reg
Kerry Zavagnin,MET,M,18,7,754,0,2,11,0,0,0/0,0,0,0.0,0.0,1,1,1,0.24,24,11,0,2,2,0.0,1998,reg
Carey Talley,DC ,D,29,19,1756,0,2,15,6,0,0/0,0,0,0.0,0.0,0,1,1,0.1,38,16,0,3,0,40.0,1998,reg
Danny Pena,LA ,D,25,25,2049,0,2,23,8,0,0/0,0,0,0.0,0.0,0,0,2,0.09,36,21,0,6,2,34.78,1998,reg
Brian Taylor,MIA,M,6,3,288,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.31,5,5,1,0,0,,1998,reg
Andrew Lewis,CHI,M,13,6,623,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.14,8,7,0,0,0,,1998,reg
Jamar Beasley,NE ,M,3,0,49,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,1.84,1,1,3,0,0,,1998,reg
Ramiro Corrales,MET,M,4,3,301,0,1,2,2,0,0/0,0,0,0.0,0.0,0,1,0,0.3,4,0,0,0,0,100.0,1998,reg
Troy Dayak,SJ ,D,11,7,607,0,1,2,2,0,0/0,0,0,0.0,0.0,0,0,1,0.15,11,4,0,0,0,100.0,1998,reg
Jimmy Glenn,CLB,F,5,3,242,0,1,2,2,0,0/0,0,0,0.0,0.0,0,1,0,0.37,0,2,2,0,0,100.0,1998,reg
Rhett Harty,MET,D,7,6,544,0,1,3,2,0,0/0,0,0,0.0,0.0,0,0,1,0.17,12,6,0,0,0,66.67,1998,reg
Brian Loftin,TB ,F,8,2,219,0,1,3,1,0,0/0,0,0,0.0,0.0,0,0,1,0.41,3,8,0,0,0,33.33,1998,reg
Clint Peay,DC ,D,6,5,394,0,1,3,1,0,0/0,0,0,0.0,0.0,1,1,0,0.23,9,3,0,3,0,33.33,1998,reg
Mike Slivinski,DC ,M,16,1,258,0,1,4,0,0,0/0,0,0,0.0,0.0,1,0,1,0.35,2,2,0,0,0,0.0,1998,reg
Sam George,TB ,M,21,20,1591,0,1,4,0,0,0/0,0,0,0.0,0.0,0,0,1,0.06,17,15,0,3,0,0.0,1998,reg
Wade Webber,MIA,D,28,28,2488,0,1,6,2,0,0/0,0,0,0.0,0.0,0,1,0,0.04,43,23,0,7,0,33.33,1998,reg
Daniel Hernandez,LA ,M,17,3,458,0,1,9,5,0,0/0,0,0,0.0,0.0,0,0,1,0.2,9,14,0,0,0,55.56,1998,reg
Arley Palacios,MET,D,24,23,1986,0,1,10,1,0,0/0,0,0,0.0,0.0,0,1,0,0.05,40,15,0,8,1,10.0,1998,reg
Carlos Rocha,NE ,F,16,4,537,0,1,11,3,0,0/0,0,0,0.0,0.0,0,1,0,0.17,9,11,5,1,0,27.27,1998,reg
Evans Wise,NE ,M,17,6,764,0,1,17,6,0,0/0,0,0,0.0,0.0,0,0,1,0.12,26,31,3,2,0,35.29,1998,reg
John Maessner,MIA,M-D,27,15,1575,0,1,18,6,0,0/0,0,0,0.0,0.0,0,1,0,0.06,10,23,6,0,0,33.33,1998,reg
Sean Bowers,KC ,D,29,29,2565,0,1,22,5,0,0/0,0,0,0.0,0.0,0,0,1,0.04,38,22,1,1,1,22.73,1998,reg
Zak Ibsen,CHI,M,27,5,908,0,1,26,10,0,0/0,0,0,0.0,0.0,1,1,0,0.1,6,10,5,1,0,38.46,1998,reg
Rob Jachym,NE ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Marco Ferruzzi,LA ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
John DeBrito,KC ,D,9,3,267,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,0,0,,1998,reg
Carlos Ledesma,MET,F,1,0,18,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Alen Kozic,MIA,M,2,1,57,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,1998,reg
John Jones,TB ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Edgar Hernandez,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Andre Nunley,COL,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Alberto Montoya,SJ ,M,1,1,59,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,,1998,reg
R.T. Moore,TB ,D,2,0,62,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,1998,reg
Tom McLaughlin,NE ,F,1,0,29,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,1998,reg
Tim Martin,SJ ,D,23,21,1847,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,28,0,0,0,,1998,reg
Ben Parry,SJ ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Curt Onalfo,DC ,D,3,0,72,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,1998,reg
Juan Sastoque,DAL,F,3,0,49,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,,1998,reg
Darren Sawatzky,DAL,F,1,0,3,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Zion Renfrum,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Andrew Restrepo,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Michael Richardson,CHI,D,1,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Nick Theslof,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Barry Swift,MET,F,2,0,30,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,1998,reg
Travis Roy,MET,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Lyle Yorks,DC ,M,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Jesse Van Saun,NE ,F,5,0,117,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,0,0,,1998,reg
Craig Yacks,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Steve Bell,TB ,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Chris Brown,DAL,D,1,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Dan Calichman,LA ,D,8,8,682,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,7,0,1,0,,1998,reg
Danny Care,DC ,D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,,1998,reg
Joe Carver,CHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Eric Chaisongkram,LA ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Chuck Codd,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Kevin Coye,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1998,reg
Ubusuku Abukusumo,CLB,D,7,3,309,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,,1998,reg
Manny Lagos,CHI,M,1,0,11,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,1998,reg
Brian Dunseth,NE ,D,18,15,1416,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,6,0,3,0,,1998,reg
Chad McCarty,TB ,D,6,6,540,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,6,0,1,0,,1998,reg
Brian Bliss,KC ,D,3,1,106,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,0.0,1998,reg
Brian Bates,CHI,M,6,4,286,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,0,0,0.0,1998,reg
Eric Dade,DAL,D,20,15,1393,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,7,0,5,0,0.0,1998,reg
Jake Dancy,KC ,M,2,2,135,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,0.0,1998,reg
Judah Cooks,DC ,M,1,1,90,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,100.0,1998,reg
Jose Botello,LA ,F,2,0,27,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,0.0,1998,reg
Jeff Zaun,MET,D,4,4,360,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,0.0,1998,reg
Esmundo Rodriguez,SJ ,M,3,0,52,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,0.0,1998,reg
David Quesada,LA ,F,1,0,9,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,1998,reg
Joe Munoz,MET,F,1,0,12,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,1998,reg
Matt Knowles,MET,D,7,7,548,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,8,0,2,0,100.0,1998,reg
Tony Kuhn,CHI,F,5,1,137,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,1,0,0,0.0,1998,reg
Nino Da Silva,KC ,F,1,0,32,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,1998,reg
Dahir Mohammed,NE ,D,7,4,423,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,6,0,3,0,50.0,1998,reg
Joey Martinez,MIA,D,6,6,390,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,1,0,1,1,0.0,1998,reg
Tom Soehn,CHI,D,20,17,1543,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,33,12,0,5,0,0.0,1998,reg
Tim Weaver,SJ ,D,12,12,1080,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,13,1,3,0,100.0,1998,reg
Carlos Llamosa,DC ,D,18,18,1444,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,29,8,0,3,0,50.0,1998,reg
Robin Fraser,LA ,D,29,29,2456,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,38,20,0,5,2,50.0,1998,reg
Cristian da Silva,MET,D,3,3,177,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,0,0,2,0,0.0,1998,reg
Adam Frye,TB ,D,10,8,710,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,10,1,1,0,0.0,1998,reg
Brandon Pollard,DAL,D,29,26,2373,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,49,24,0,4,0,66.67,1998,reg
Brian Johnson,KC ,M,6,1,140,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,1998,reg
Janusz Michallik,NE ,M,12,9,759,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,11,0,0,0,25.0,1998,reg
Mark Semioli,MET,D,10,10,829,0,0,4,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,13,0,4,1,75.0,1998,reg
Jacek Ziober,TB ,F,3,3,196,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,4,2,1,0,50.0,1998,reg
Cle Kooiman,MIA,D,14,14,1260,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,38,11,1,8,0,50.0,1998,reg
Josh Keller,CHI,M,15,11,827,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,2,1,3,1,40.0,1998,reg
Sean Henderson,COL,M,21,15,1266,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,14,0,3,1,33.33,1998,reg
Jason Bent,COL,M,12,9,890,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,11,0,0,0,33.33,1998,reg
Eric Quill,TB ,F,4,0,141,0,0,7,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,42.86,1998,reg
Mario Gori,DC ,D,17,9,842,0,0,13,7,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,8,0,2,1,53.85,1998,reg
Matt McKeon,KC ,D,22,21,1875,0,0,14,8,0,0/0,0,0,0.0,0.0,0,0,0,0.0,40,24,0,4,1,57.14,1998,reg
Chris Klein,KC ,M,17,8,782,0,0,15,7,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,5,2,0,0,46.67,1998,reg
David Nakhid,NE ,M,18,14,1350,0,0,15,7,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,19,1,2,0,46.67,1998,reg
Vicente Figueroa,SJ ,D,20,10,1005,0,0,15,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,14,2,4,1,13.33,1998,reg
Jason Kreis,DAL,M,32,32,2815,18,15,114,57,6,1/2,14,4,0.58,15.8,7,9,6,0.48,49,58,29,5,0,50.0,1999,reg
Roy Lassiter,DC ,F,30,29,2626,18,11,85,47,4,1/2,7,11,0.62,21.2,5,7,4,0.38,25,34,43,5,1,55.29,1999,reg
Stern John,CLB,F,28,26,2293,18,2,104,45,2,0/1,11,7,0.71,17.3,2,2,0,0.08,44,54,37,0,0,43.27,1999,reg
Ronald Cerritos,SJ ,F,31,30,2721,15,9,75,45,2,1/1,9,6,0.5,20.0,3,5,4,0.3,23,34,35,2,0,60.0,1999,reg
Joe-Max Moore,NE ,F,29,29,2610,15,8,83,47,5,1/1,9,6,0.52,18.1,0,4,4,0.28,49,66,23,1,0,56.63,1999,reg
Ante Razov,CHI,F,30,24,2068,14,7,90,49,7,2/2,3,11,0.61,15.6,3,2,5,0.3,36,34,32,4,0,54.44,1999,reg
Raul Diaz Arce,SJ ,F,31,29,2586,13,7,90,40,2,2/2,5,8,0.45,14.4,2,2,5,0.24,43,34,37,4,0,44.44,1999,reg
Jeff Cunningham,CLB,F,28,15,1556,12,5,60,32,4,1/1,6,6,0.69,20.0,2,5,0,0.29,19,35,25,2,0,53.33,1999,reg
Musa Shannon,TB ,M-F,27,21,1829,12,5,69,33,3,0/0,7,5,0.59,17.4,1,1,4,0.25,42,41,22,3,0,47.83,1999,reg
Jaime Moreno,DC ,F,25,25,2114,10,13,70,34,5,2/2,4,6,0.43,14.3,5,9,4,0.55,55,74,12,5,0,48.57,1999,reg
Jorge Dely Valdes,COL,F,32,27,2415,10,6,70,28,7,0/0,6,4,0.37,14.3,1,3,3,0.22,32,61,31,2,0,40.0,1999,reg
Giovanni Savarese,NE ,F,27,25,2062,10,2,48,30,0,0/0,4,6,0.44,20.8,0,0,2,0.09,35,28,17,2,0,62.5,1999,reg
Josh Wolff,CHI,F,28,17,1775,10,2,55,34,1,0/0,5,5,0.51,18.2,1,1,1,0.1,18,20,20,2,0,61.82,1999,reg
Diego Serna,MIA,F,21,20,1862,10,2,62,26,1,0/0,4,6,0.48,16.1,0,1,1,0.1,52,65,23,6,0,41.94,1999,reg
Cobi Jones,LA ,M,28,28,2488,8,8,62,32,3,0/1,4,4,0.29,12.9,2,4,4,0.29,34,80,32,4,0,51.61,1999,reg
Wolde Harris,COL,F,29,24,2096,8,8,68,36,4,3/5,4,4,0.34,11.8,3,5,3,0.34,53,31,24,1,0,52.94,1999,reg
Welton,LA ,F,29,27,2374,8,7,47,28,1,0/0,5,3,0.3,17.0,1,4,3,0.27,44,41,31,3,0,59.57,1999,reg
A.J. Wood,DC ,F,24,13,1385,8,6,44,17,1,0/0,3,5,0.52,18.2,0,4,2,0.39,24,23,10,1,0,38.64,1999,reg
Carlos Hermosillo,LA ,F,16,16,1280,8,3,38,24,0,0/0,3,5,0.56,21.1,3,1,2,0.21,19,15,24,3,0,63.16,1999,reg
Preki,KC ,M,30,28,2572,7,11,97,31,0,1/2,6,1,0.24,7.2,2,8,3,0.38,24,77,1,3,0,31.96,1999,reg
Clint Mathis,LA ,M,27,20,1890,7,6,63,19,2,0/0,3,4,0.33,11.1,2,2,4,0.29,22,26,14,1,1,30.16,1999,reg
Paul Bravo,COL,M,25,23,1966,7,5,40,21,1,0/0,3,4,0.32,17.5,2,1,4,0.23,26,57,26,1,0,52.5,1999,reg
Eduardo Hurtado,MET,F,28,26,2377,7,3,79,30,0,1/2,2,5,0.27,8.9,1,2,1,0.11,42,41,23,3,0,37.97,1999,reg
